word,label
chester,10000
chevy,10000
chi,10000
chicago,10000
chick,10000
chicken,3000
chicks,10000
chief,3000
child,3000
childhood,3000
children,10000
chile,10000
china,10000
chinese,10000
chip,3000
chips,10000
chocolate,3000
choice,3000
choices,10000
choir,5000
cholesterol,10000
choose,3000
choosing,10000
chop,5000
chorus,10000
chose,10000
chosen,10000
christ,10000
christian,10000
christianity,10000
christians,10000
christmas,10000
christopher,10000
chrome,10000
chronic,5000
chronicle,10000
chronicles,10000
chubby,10000
chuck,10000
chunk,5000
church,3000
churches,10000
ci,10000
cia,10000
cialis,10000
ciao,10000
cigarette,3000
cigarettes,10000
cincinnati,10000
cinema,10000
cio,10000
circle,3000
circles,10000
circuit,5000
circuits,10000
circular,10000
circulate,5000
circulation,5000
circumstance,3000
circumstances,10000
circus,10000
cisco,10000
citation,10000
citations,10000
cite,3000
cited,10000
cities,10000
citizen,3000
citizens,10000
citizenship,5000
city,3000
civic,5000
civil,3000
civilian,5000
civilization,5000
cl,10000
claim,3000
claimed,10000
claims,10000
clan,10000
clarify,5000
clarity,5000
clark,10000
clash,5000
class,3000
classes,10000
classic,3000
classical,3000
classics,10000
classification,5000
classified,10000
classifieds,10000
classify,5000
classroom,3000
clause,3000
clay,10000
clean,3000
cleaner,10000
cleaners,10000
cleaning,10000
cleanup,10000
clear,3000
clearance,10000
cleared,10000
clearing,10000
clearly,3000
clerk,3000
cleveland,10000
clever,3000
click,3000
clicking,10000
clicks,10000
client,3000
clients,10000
cliff,5000
climate,3000
climb,3000
climbing,10000
cling,5000
clinic,5000
clinical,5000
clinics,10000
clinton,10000
clip,5000
clips,10000
clock,3000
clocks,10000
clone,10000
close,10000
closed,3000
closely,3000
closer,10000
closes,10000
closest,10000
closet,3000
closing,10000
closure,5000
cloth,3000
clothes,3000
clothing,3000
cloud,3000
clouds,10000
cloudy,10000
club,3000
clubs,10000
clue,3000
cluster,5000
clusters,10000
cm,10000
cms,10000
co,10000
coach,3000
coaches,10000
coaching,10000
coal,3000
coalition,5000
coast,3000
coastal,5000
coat,3000
coated,10000
coating,10000
cock,10000
cocks,10000
cocktail,5000
cod,10000
code,3000
codes,10000
coding,10000
coffee,3000
cognitive,5000
coin,3000
coincide,5000
coincidence,5000
coins,10000
col,10000
cold,3000
cole,10000
collaborate,5000
collaboration,5000
collaborative,10000
collapse,3000
collar,10000
colleague,3000
colleagues,10000
collect,3000
collectables,10000
collected,10000
collectible,10000
collectibles,10000
collecting,10000
collection,3000
collections,10000
collective,5000
collector,5000
collectors,10000
college,3000
colleges,10000
collins,10000
collision,5000
cologne,10000
colombia,10000
colon,10000
colonial,5000
colony,5000
color,3000
colorado,10000
colored,3000
colorful,5000
colors,10000
colour,10000
colours,10000
columbia,10000
columbus,10000
column,3000
columnist,5000
columnists,10000
columns,10000
combat,5000
combination,3000
combinations,10000
combine,3000
combined,10000
combines,10000
combining,10000
combo,10000
come,3000
comedy,3000
comes,10000
comfort,3000
comfortable,3000
comic,5000
comics,10000
coming,10000
command,3000
commander,5000
commands,10000
commence,5000
comment,3000
commentary,5000
commentator,5000
commented,10000
comments,10000
commerce,5000
commercial,3000
commission,3000
commissioner,5000
commissioners,10000
commissions,10000
commit,3000
commitment,3000
commitments,10000
committed,10000
committee,3000
committees,10000
commodities,10000
commodity,5000
common,3000
commonly,3000
commons,10000
commonwealth,10000
communicate,3000
communication,3000
communications,10000
communist,5000
communities,10000
community,3000
comp,10000
compact,10000
companies,10000
companion,5000
company,3000
comparable,5000
comparative,5000
compare,3000
compared,10000
comparing,10000
comparison,3000
comparisons,10000
compassion,5000
